lng,lat
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
-97.738334,30.287898
